蜀光新城二期,3室1厅1厨1卫,104.83㎡,锦江,低楼层 (共18层),东,218万,20796元/平米,2009年
卓锦城二期,3室2厅1厨2卫,126.58㎡,锦江,高楼层 (共24层),西南,258万,20383元/平米,2008年
锦江城市花园三期,2室1厅1厨1卫,53㎡,锦江,中楼层 (共34层),西南,105万,19812元/平米,2011年
锦江城市花园三期,2室2厅1厨1卫,73.83㎡,锦江,低楼层 (共34层),东南,140万,18963元/平米,2011年
万科金润华府,2室2厅1厨1卫,64.52㎡,锦江,高楼层 (共35层),南,180万,27899元/平米,2012年
摩根中心,2室1厅1厨2卫,84.76㎡,锦江,高楼层 (共40层),东北,180万,21237元/平米,2012年
卓锦城六期,2室2厅1厨1卫,76.27㎡,锦江,中楼层 (共24层),西南,169万,22159元/平米,2014年
锦江城市花园二期,2室1厅1厨1卫,47.03㎡,锦江,中楼层 (共34层),东,91万,19350元/平米,2010年
蓉上坊一期,2室1厅1厨1卫,88.82㎡,锦江,低楼层 (共30层),东南,230万,25896元/平米,2009年
瑞升望江橡树林二期,3室1厅1厨1卫,88.9㎡,锦江,低楼层 (共34层),东,230万,25872元/平米,2011年
华韵天府,5室2厅1厨2卫,115.6㎡,锦江,低楼层 (共39层),西南,260万,22492元/平米,2013年
新沙河阳光水岸,4室2厅1厨2卫,125.89㎡,锦江,低楼层 (共6层),东,300万,23831元/平米,2005年
紫东锦源,2室2厅1厨1卫,76.62㎡,锦江,中楼层 (共25层),东,150万,19578元/平米,2010年
工农院街19号,2室2厅1厨1卫,62.66㎡,锦江,高楼层 (共7层),南 西南,102万,16279元/平米,未知年建
ICC天曜,4室2厅1厨2卫,184.62㎡,锦江,中楼层 (共31层),南 北,530万,28708元/平米,2015年
翡翠城三期,5室2厅1厨3卫,190.23㎡,锦江,高楼层 (共6层),东南,698万,36693元/平米,2008年
锦江城市花园一期,2室2厅1厨1卫,88.9㎡,锦江,低楼层 (共34层),东南,185万,20810元/平米,未知年建/
世纪朝阳,2室2厅1厨1卫,92.26㎡,锦江,中楼层 (共26层),东南,240万,26014元/平米,2005年
鑫苑名家二期,2室1厅1厨1卫,76.22㎡,锦江,低楼层 (共34层),西南,145万,19024元/平米,2012年
比华利国际城一期,3室2厅1厨2卫,127.01㎡,锦江,中楼层 (共32层),北,265万,20865元/平米,2008年
四海逸家二期,4室2厅1厨3卫,86.85㎡,锦江,中楼层 (共34层),南,370万,42603元/平米,2013年
青莲下街56号,2室1厅1厨1卫,50.64㎡,锦江,低楼层 (共7层),南,95万,18760元/平米,1986年
正成翡翠琉璃,2室1厅1厨1卫,72.56㎡,锦江,高楼层 (共33层),西,76万,10475元/平米,2012年
卓锦城一期,3室2厅1厨2卫,134.68㎡,锦江,高楼层 (共24层),西北,240万,17821元/平米,2006年
雕墅,2室1厅1厨1卫,75㎡,锦江,低楼层 (共33层),南,226万,30134元/平米,2007年
都会风尚,2室1厅1厨1卫,89.1㎡,锦江,低楼层 (共32层),西,249万,27947元/平米,2009年
爱丁郡院,1室1厅1厨1卫,51.67㎡,锦江,高楼层 (共18层),北,96万,18580元/平米,2009年
都市驿站,1室1厅1厨1卫,42.67㎡,锦江,中楼层 (共13层),西南,128万,29998元/平米,2003年
鑫苑名家二期,1室1厅1厨1卫,48.68㎡,锦江,低楼层 (共34层),东南,87万,17872元/平米,2012年
